benchmark	cohort	position	lane	duration_ns	status	stdout_sha256	binary_sha256
await_channel_mux	2	2	go	5658755	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	2	3	baseline	350881146	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	3	1	go	5629954	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	3	2	baseline	301995626	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	3	3	candidate	282130893	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	4	1	baseline	287903276	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	4	2	candidate	242268445	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	4	3	go	4496185	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	5	1	candidate	219479858	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	5	2	go	4690793	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	5	3	baseline	219314020	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	6	1	go	4529487	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	6	2	baseline	222079322	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	6	3	candidate	221237180	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	7	1	baseline	214346468	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	7	2	candidate	213605448	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	7	3	go	4506508	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	8	1	candidate	261317571	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	8	2	go	4712356	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	8	3	baseline	267641008	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	9	1	go	4478524	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	9	2	baseline	238996369	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	9	3	candidate	218338949	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	10	1	baseline	220881853	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	89d5a7e7dbaab4b3606553b61559ece5efc28c0b3d45d0862c9b83c89a433e10
await_channel_mux	10	2	candidate	224359130	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
await_channel_mux	10	3	go	4634229	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	c3a39e35b30bc1391312cfdd267b2f01e20f17f1fdd439f7f2661eb36eb044de
await_channel_mux	11	1	candidate	289600944	ok	0a32fa2e9481ecb635562079d993288d911326d9f36aeea0d9d3058d1a494693	8087a8b5d3f4a786fb2a7e20e742844d49c857c9b93297025c33c2d693307c42
