state	family	disposition	lines	bytes	sha256	path
untracked	semantic-abi	reviewed	140	4634	bbd76a772371c40b14da769481786f66318212d9568453bb3d4d77d4c2fa191a	v12/interpreters/go/internal/semanticabi/shadow/lower_test.go
untracked	semantic-abi	reviewed	188	7483	1b5c817708825c2b605af22b0f5b2d047b519c704295e0ed921079efd190905e	v12/interpreters/go/internal/semanticabi/validate.go
untracked	semantic-abi	reviewed	315	11025	2fbecce7bdc76b4ba4154b06491f8b79a19b1b2e718dd72a2b53b9905391f0a8	v12/interpreters/go/internal/semanticabi/validate_flow.go
untracked	semantic-abi	reviewed	78	3008	f46fa7a689709a41d80d25ba47159104d50e7ac8a097d4c9d5a3711244072e58	v12/interpreters/go/internal/semanticabi/validate_flow_test.go
modified	compiler-bridge	reviewed	902	25384	5e18be1d049451b69ff023317e1055c70b65ae7545d92991e94029327a1cbe95	v12/interpreters/go/pkg/compiler/bridge/bridge.go
untracked	compiler-bridge	reviewed	32	780	3f28df37504513984ca70f459bace5d99f19ae6a17e02d9b40853a4849aa5f3c	v12/interpreters/go/pkg/compiler/bridge/bridge_dependency_test.go
modified	compiler-bridge	reviewed	156	4550	bbbc2321055e1f9908d60982e15a40227d403b5414f168832e475282b2eafd90	v12/interpreters/go/pkg/compiler/bridge/bridge_diagnostics.go
modified	compiler-bridge	reviewed	53	1669	72037642ba81da1ad2b8576b98bd17ec69b21322ab0fffe463305a26a7bd948c	v12/interpreters/go/pkg/compiler/bridge/bridge_eval.go
untracked	compiler-bridge	reviewed	187	4463	f242a508988a35902d5143bd9e36d3bfae264e1d5a4b0ffb40e76afb14077efd	v12/interpreters/go/pkg/compiler/bridge/bridge_hash_map_primitives.go
modified	compiler-bridge	reviewed	611	19084	65c65b0c9e2ed066a44e8fbac9c019cb6a077ea1aa70460d5b34cc26a6de7617	v12/interpreters/go/pkg/compiler/bridge/bridge_host_values.go
untracked	compiler-bridge	reviewed	97	6554	56e23a0f00f7d25a9fed86b5222d29faab97df7d5e228726ff8b12c47cddbd4c	v12/interpreters/go/pkg/compiler/bridge/bridge_interpreter.go
untracked	compiler-bridge	reviewed	410	11811	c39ca1559c8979ef065b97ad39dba5e175dee21acf87348395d0b84ebd7a570a	v12/interpreters/go/pkg/compiler/bridge/bridge_primitive_binary.go
untracked	compiler-bridge	reviewed	50	1783	322813405966a0898128450d577120dcc0d87bdeba49e6005e1b034d0a72e669	v12/interpreters/go/pkg/compiler/bridge/bridge_primitive_binary_test.go
untracked	compiler-bridge	reviewed	173	5987	db513ab06c7076b5b8bf7663944a5bd26a318b49f7767f0a759b986079973e73	v12/interpreters/go/pkg/compiler/bridge/bridge_runtime_ops.go
untracked	compiler-bridge	reviewed	53	1659	528fee9b9804fb589ee059d44200082ee4cc7be7cce040c7ee37be93cd848558	v12/interpreters/go/pkg/compiler/bridge/bridge_small_int_cache.go
untracked	compiler-bridge	reviewed	132	4110	91606c6600e73bb8bb558209e6e42ff32eafd53465265b1c2d66ef7e646b573a	v12/interpreters/go/pkg/compiler/bridge/bridge_small_int_cache_test.go
modified	compiler-bridge	reviewed	440	11711	2ac67c2f10f8db8475a30c3bf553f39c13b47c4e2810540bd88038e0fa7bd6fb	v12/interpreters/go/pkg/compiler/bridge/bridge_static_types.go
untracked	compiler-bridge	reviewed	106	3462	35d3c96f6daee1a2cf0a22fec65df5dd2729a2e335685dda94351bb6677f667d	v12/interpreters/go/pkg/compiler/bridge/bridge_static_types_test.go
untracked	compiler-bridge	reviewed	30	771	e3b7501a9920123d986065c6a044f3cf91884aa794473bf3bedbe9a56ab0fd3c	v12/interpreters/go/pkg/compiler/bridge/bridge_stringify.go
untracked	compiler-bridge	reviewed	44	1391	02712aa8499f38beed3fd958cfc07bd769454ccb2bc5603eff238bfca8169a81	v12/interpreters/go/pkg/compiler/bridge/bridge_stringify_test.go
untracked	compiler-bridge	reviewed	163	4597	5ec22c6b6bf28c629698df78f5bf01c2dfff2a289f5c4e2191bb8007ef446261	v12/interpreters/go/pkg/compiler/bridge/bridge_struct_definitions.go
untracked	compiler-bridge	reviewed	36	987	aed22ef3d58fa9a8e167e78b85fa19d11dfe1b78d6287a0b258f8d8a70153800	v12/interpreters/go/pkg/compiler/bridge/bridge_struct_fields.go
