state	review_order	family	disposition	governing_record	lines	bytes	sha256	path
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	16	1265	726b231ec0dbb020b0e558d20aed526b0a531361eed795c5d744302b0c46026e	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-02-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	910	31600	7cfec94384383d6c3b40ea56972f00c8a0bac40076b7c953736e8dfeb60b52f2	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-03-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	17	1479	ad1a769f3d7be439f60e0731e1b07476a08005905d7932001219777cf9105803	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-03-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	1101	38353	447d134f66d4ed009858eccbb1781fa6f664981a45d09572a99c80ba6543aaf3	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-04-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	18	1702	5c0f4085b22b424a8df884b6579a6db11c1bd349e4fc8e27904a025fcd0026f0	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-04-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	249	8588	3e2bdd0f626b7d2a8f6dde9928f21c66ccf37f99cbe33082d04542fce6d7c47b	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-05-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	14	914	5dbeb24ac08abccba680f6044951b4ab5e20c5d7ded8ff6a182b2a2a79741eac	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-05-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	4637	163054	64d5fbff8f4046ca4a98c98a47c24c3855f2f4c80e31e47b2ac64acd645a8f69	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-06-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	34	5008	a3e64fd0d7a6263c538553075769becacfb6eb6dffecf757664f973f9056a748	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-bytecode-06-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	1081	37070	fc6ab5815ebbd10d3fa17f7d0b9ca4dacb1167671918d6f8c2893fe3106b15aa	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-compiled-01-selected.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	19	1635	b765bf1dbea78baad5219511d18c5a9fbb74ab05f170c61f799d47bcfae758e6	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-compiled-01-selected.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	565	19346	90340c529d21f49242f528216ba22be0f0a3705f083341483205f54c2ade7eab	v12/docs/perf-baselines/2026-07-29-nullable-scalar-retained-coverage-extra-compiled-02-selected.json
